,scaler,Head_w,Head_h,Torso_w,Torso_h,RUpperArm_w,RUpperArm_h,RLowerArm_w,RLowerArm_h,LUpperArm_w,LUpperArm_h,LLowerArm_w,LLowerArm_h,RThigh_w,RThigh_h,RCalf_w,RCalf_h,LThigh_w,LThigh_h,LCalf_w,LCalf_h
442456_1,1.3636363636363635,44,60,86,116,56,24,48,18,56,24,48,18,40,64,28,86,40,64,28,86
25057_1,0.6976744186046512,36,60,58,84,44,22,36,18,44,22,36,18,32,86,24,60,32,86,24,60
107094_1,1.0,44,60,62,104,68,32,54,28,68,32,54,28,42,110,32,62,42,110,32,62
50326_1,1.7647058823529411,52,60,90,130,80,30,56,24,80,30,56,24,74,102,34,90,74,102,34,90
17905_1,1.0344827586206897,40,60,80,128,56,16,60,18,56,16,60,18,36,88,24,84,36,88,24,84
510095_1,1.4285714285714286,48,60,76,114,54,22,50,14,54,22,50,14,44,74,24,70,44,74,24,70
231580_1,0.967741935483871,48,60,60,102,60,20,58,26,60,20,58,26,56,118,20,60,56,118,20,60
354547_1,0.5357142857142857,36,60,52,114,62,22,44,20,62,22,44,20,34,72,24,80,34,72,24,80
264535_1,1.1111111111111112,74,60,74,174,104,40,74,26,104,40,74,26,48,160,42,136,48,160,42,136
51712_1,1.25,50,60,90,122,54,26,42,22,54,26,42,22,52,76,34,90,52,76,34,90
412286_1,1.1538461538461537,42,60,78,114,52,24,48,18,52,24,48,18,36,106,26,80,36,106,26,80
60347_1,0.9375,60,60,92,156,86,24,54,24,86,24,54,24,34,92,30,108,34,92,30,108
93261_1,1.0,60,60,66,132,82,30,52,20,82,30,52,20,56,150,20,82,56,150,20,82
3156_1,0.3409090909090909,46,60,54,98,68,28,52,18,68,28,52,18,40,90,26,74,40,90,26,74
281929_1,0.967741935483871,42,60,86,104,56,20,44,20,56,20,44,20,54,124,22,90,54,124,22,90
568981_1,1.2,54,60,54,62,38,24,38,24,48,88,28,76,48,88,28,76
356427_1,1.0714285714285714,42,60,74,122,48,24,64,18,48,24,64,18,42,102,30,80,42,102,30,80
455157_1,0.8571428571428571,52,60,52,104,76,24,60,20,76,24,60,20,48,74,28,108,48,74,28,108
13177_1,0.46153846153846156,50,60,46,90,60,34,42,18,60,34,42,18,36,88,28,62,36,88,28,62
5060_1,1.0,40,60,86,100,48,24,46,22,48,24,46,22,42,82,32,94,42,82,32,94
202339_1,0.75,30,60,58,94,50,16,38,12,50,16,38,12,30,74,22,56,30,74,22,56
259690_1,1.3636363636363635,52,58,84,100,78,24,48,18,78,24,48,18,38,42,26,106,38,42,26,106
259690_2,1.0344827586206897,46,60,82,102,64,18,44,16,64,18,44,16,44,70,32,62,44,70,32,62
170191_1,0.5882352941176471,36,60,62,92,58,18,36,16,58,18,36,16,30,70,20,68,30,70,20,68
47585_1,0.8333333333333334,40,60,82,120,58,24,42,22,58,24,42,22,38,92,34,74,38,92,34,74
47585_2,0.7894736842105263,46,60,60,142,74,22,52,22,74,22,52,22,44,76,24,78,44,76,24,78
55950_1,0.967741935483871,42,60,86,102,42,16,28,16,42,16,28,16,48,70,36,82,48,70,36,82
162581_1,1.3636363636363635,64,60,102,144,70,38,56,16,70,38,56,16,78,146,38,122,78,146,38,122
163257_1,0.5084745762711864,40,60,68,110,50,24,34,18,50,24,34,18,32,90,18,70,32,90,18,70
572900_1,1.5789473684210527,42,60,62,100,62,22,56,14,62,22,56,14,30,78,22,66,30,78,22,66
515579_1,1.1538461538461537,46,58,88,126,62,26,48,24,62,26,48,24,48,112,32,84,48,112,32,84
409198_1,0.75,48,60,52,100,54,24,48,18,54,24,48,18,44,100,24,76,44,100,24,76
