,scaler,Head_w,Head_h,Torso_w,Torso_h,RUpperArm_w,RUpperArm_h,RLowerArm_w,RLowerArm_h,LUpperArm_w,LUpperArm_h,LLowerArm_w,LLowerArm_h,RThigh_w,RThigh_h,RCalf_w,RCalf_h,LThigh_w,LThigh_h,LCalf_w,LCalf_h
270883_1,1.0344827586206897,46,60,88,126,84,28,56,22,84,28,56,22,56,134,36,134,56,134,36,134
295478_1,0.5555555555555556,38,60,60,106,52,20,44,12,52,20,44,12,34,74,22,68,34,74,22,68
328430_1,1.5789473684210527,44,60,62,104,46,24,60,18,46,24,60,18,50,112,24,94,50,112,24,94
353051_1,1.0,46,60,58,86,60,20,44,14,60,20,44,14,32,94,26,72,32,94,26,72
295713_1,0.967741935483871,40,60,54,68,62,20,44,20,62,20,44,20,38,58,28,80,38,58,28,80
67180_1,0.6122448979591837,40,60,62,98,56,12,50,14,56,12,50,14,28,78,22,46,28,78,22,46
313588_1,1.3043478260869565,54,60,90,130,62,26,66,30,62,26,66,30,66,122,38,100,66,122,38,100
118921_1,1.6666666666666667,42,60,82,116,56,26,56,26,56,26,56,26,42,90,26,62,42,90,26,62
356505_1,1.25,50,60,82,112,70,22,44,16,70,22,44,16,42,96,24,86,42,96,24,86
463618_1,0.6818181818181818,58,60,44,94,36,18,24,16,36,18,24,16,22,24,24,42,22,24,24,42
54931_1,0.7317073170731707,40,60,58,96,44,22,38,16,44,22,38,16,44,92,26,80,44,92,26,80
333745_1,0.967741935483871,50,60,76,128,56,24,28,22,56,24,28,22,42,88,38,62,42,88,38,62
547336_1,0.38961038961038963,46,60,80,84,50,32,36,16,50,32,36,16,44,52,22,38,44,52,22,38
564091_1,0.38461538461538464,38,60,60,66,46,12,40,10,46,12,40,10,16,56,22,58,16,56,22,58
179487_1,0.6976744186046512,40,60,44,46,58,24,42,20,58,24,42,20,50,82,26,82,50,82,26,82
81594_1,0.967741935483871,44,60,80,136,60,12,50,20,60,12,50,20,30,102,24,70,30,102,24,70
253835_1,0.9375,46,60,60,108,58,22,44,16,58,22,44,16,42,74,28,72,42,74,28,72
327601_1,0.5769230769230769,32,60,44,68,48,16,44,14,48,16,44,14,34,42,20,76,34,42,20,76
